userName,score,at,content
Hijjatun Nadia,5,2022-08-15 12:20:30,"Sangat membantu untuk penjual online seperti saya. Yang harus order barang terus, harus bayar via Transfer tanpa harus ke Bank atau ke Mesin ATM nya. Dan untuk yang pelupa recommended banget untuk punya aplikasi ini, karena pas lagi jalan keluar lupa bawa Kartu ATM, kita juga bisa ambil uang tunai tanpa kartu. Terbaik pokoknya 🙏"
Eva Juwitasari,5,2022-09-05 11:32:59,BRIMO sangat membantu saya dlm bertransaksi.
Eko Hartono,5,2022-08-15 11:33:36,Bagus. Lebih mudah dan simpel. Kalau bisa ditambahkan untuk pembayaran lainnya seperti kredit motor dan rumah.
lega lego,5,2022-09-05 13:53:04,mudah dan simple pake brimo
Aldi Aditya,5,2022-08-15 10:25:12,Mantap aplikasi BRImo semoga semakin berkembang kedepannya sehingga lebih memudahkan bertransaksi dan lebih safety keamanan nya!!!
teguh riyadi,5,2022-08-15 10:12:05,"Fitur lengkap dan lumayan mudah menggunakannya, tdk menyulitkan user baru."
Susanto Susanto,5,2022-09-05 13:51:16,"Sangat mudah dan membantu,terimakasih BRImo"
Satria Drajat,5,2022-08-15 9:37:49,Alhamdulilah.. semakin mudah bertransaksi.. terima kasih BRImo.. sukses selalu.. dan tingkatkan keamanan nasabah
Tri Advangers,4,2022-09-05 13:43:06,Mempermudah aktifitas dan pembayaran apa pun....trimakasih brimo....semoga aplikasi ini menjadi alat transfer favorit no 1...
annisa widiasafitri,4,2022-08-15 8:37:04,"Mempermudah banget buat melakukan transaksi Tapi daftar nya aga susah yah Udah beberapa kali coba ga bisa"" ,di coba terus akhirnya bisa☺️"
Ponsi Pedak,5,2022-09-05 13:18:59,Sangat mudah untuk bertransaksi
Kak Fetty,5,2022-08-15 7:50:41,"Setelah sekian purnama tidak bisa daftar, akhirnya bisa juga, sedikit tips, sepertinya untuk pendaftaran harus di jam dan hari kerja, jika sudah lebih dari 3 kali video verifikasi tidak bisa upload, silahkan ulangi 24 jam kemudian, jika masih tidak bisa silahkan uninstal aplikasi, ulangi kembali untuk pendaftaran. Saya 4 kali uninstal aplikasi dan setelah 3 hari dari pendaftaran pertama baru bisa. Jik sudah dpt email privacy id, silahkan email ke callbri untuk meminta bantu supaya bisa lanjut."
Riani Nur,1,2022-08-15 5:56:08,Selalu gagal di perekaman video. Tulisannya selalu tidak ada koneksi. Terus koneksi yang bagus itu yang seperti apa? Heran deh
Matary Anto,5,2022-09-05 13:17:11,Manatap kali transper cuma 1detik langsung terkirim
zubeir Siregar,2,2022-08-15 5:01:54,"Bagus,,,walaupun saya tidak bisa operasikan aplikasi brimo karna lupa password, dan untuk reset password memerlukan nomor kartu ATM sementara kartu ATM belum punya"
Nendah nurhayati,5,2022-08-15 4:48:06,"Bagus banget,semua jadi gampang dengan brimo transfer kapan aja di mana aja bisa.mantap👍 pokok nya mah.saya kasih 5 bintang nya ya,,,,,semoga ke depan nya lebih bagus lagi tidak mengecewakan😊,sukses teru buat bank bri nya dan brimo🤗🙏"
Suparmi Ami1978,3,2022-08-15 4:01:33,"Saya pengguna yang hendak memakai aplikasi ini,tapi setelah verifikasi wajah, prosesnya selalu stuck,dan selalu muncul notif koneksi internet terputus,mohon bantuannya min 🙏"
ari budi,5,2022-09-05 13:16:28,Lebih mudah.. Semoga ke depannya lebih Baik
Siti Supiah,5,2022-09-05 12:59:26,Sangat membantu dan mudah
Adan pratama,5,2022-09-05 12:57:13,"Rekomendasi banget, sangat membantu"
Arfansyah Yuda,5,2022-09-05 12:42:31,Mantap... Untuk urusan Transanksi Lebih Mudah dan Cepat... Itu Pun Kalau Ada Saldonya🤭🤭🤭
Sukarno Karno,5,2022-09-05 12:42:16,BRI sangat praktis .
Melisa Hardianasilva,5,2022-09-05 12:41:44,Sangat puas pokoknya
Lukman Priatna,5,2022-09-05 12:31:25,Bagus banget saya suka
SUPRIANTO Supri,5,2022-09-05 12:31:22,Ok lancar dan sukses pemakaian aplikasi BRIMO
MA. VLOG,4,2022-09-05 12:28:14,"@.sampai saat ini cukup memuaskan penggunaan aplikasi brimo, simple & mudah👍"
Mustopo Top,5,2022-09-05 12:26:59,"Brimo sangat membantu, kalo mau tf jauh dr Atm, thanks"
Lutfiana Laili Alfu Rohmatin,5,2022-08-15 0:27:54,"Penggunaannya sangat mudah, tidak perlu ke bank lagi untuk transfer sehingga lebih mempersingkat waktu, bisa untuk mengisi gopay, shopeepay juga."
dewa dewi,5,2022-09-05 11:55:43,"Sangat membantu, aplikasi bagus. Tidak pernah troble."
Dina Okta Nur Wirananda,5,2022-09-05 11:48:54,"Aplikasi mobile banking terbaik, mudah, cepat dan aman."
Nurdiyanto Nurdin,5,2022-09-05 11:23:15,Mantapp dahh..petahankan pelayanan
sampur95,5,2022-09-05 11:18:49,Mantap deh pokoknya
Rizal Bayu Setyawan,5,2022-09-05 11:17:30,Menarik dengan fitur catatan uang masuk dan keluar bisa Ter record
Siti Rusmiati,5,2022-09-05 11:08:12,Sangat memuaskan denfan pelayanan nya dan sangat membantu 🙏
Lia Yulianti,5,2022-09-05 10:53:50,"Sangat membantu sekali,,, apalagi buat kita yg males banget keluar"
zales 1234,5,2022-08-14 15:00:27,"Aplikasi ini sangat membantu saya dalam melakukan transaksi non tunai, sangat sangat recommended untuk orang yg biasa melakukan transaksi non tunai jika mesin ATM jauh dari lokasi, the best pokoknya"
Nur Rochman,5,2022-09-05 10:53:28,Mempermudah dalam bertransaksi
Agus Solihin,5,2022-09-05 10:52:52,BRI jaminan masa hari tua top banget
JoshInggrid Tambunan,5,2022-09-05 10:50:34,"Sangat bermanfaat, Thanks Brimo"
cier cier,5,2022-09-05 10:45:47,Sangat bagus mempermudah dalam bertransaksi
Abdul Qodir,5,2022-08-14 10:42:56,"Aplikasinya sangat mudah dan cepat tidak lemot, ada opsi masuk pakai user dan password atau sidik jari dan bisa memilih cara masuknya dengan mudah"
SOFAN BARORI,5,2022-09-05 10:39:36,Mantap Aplikasi yang sangat membantu
febri yudhistira,3,2022-08-14 9:32:50,"Sudah puluhan kali upload vidio selalu gagal, padahal jaringan lancar dan pencahayaan baik. Mohon diperbaiki lagi"
dhe junior official,5,2022-08-14 9:18:00,"Kenapa saya tidak bisa buat akun brimo.. ketika data sudah di masukan semua .. setelah terima sms link .. ketika masuk link .. selalu gagal masuk.. selalu muncul kata ""REQUEST REJECTED"". padahal saya belum punya akun brimo sama sekali"
SOFAN BARORI,5,2022-09-05 10:39:36,Mantap Aplikasi yang sangat membantu
