userName,score,at,content,content_tokens,content_tokens_fdist,content_tokens_WSW,content_normalized,content_tokens_stemmed,polarity_score,polarity
Hijjatun Nadia,5,2022-08-15 12:20:30,sangat membantu untuk penjual online seperti saya yang harus order barang terus harus bayar via transfer tanpa harus ke bank atau ke mesin atm nya dan untuk yang pelupa recommended banget untuk punya aplikasi ini karena pas lagi jalan keluar lupa bawa kartu atm kita juga bisa ambil uang tunai tanpa kartu terbaik pokoknya,"['sangat', 'membantu', 'untuk', 'penjual', 'online', 'seperti', 'saya', 'yang', 'harus', 'order', 'barang', 'terus', 'harus', 'bayar', 'via', 'transfer', 'tanpa', 'harus', 'ke', 'bank', 'atau', 'ke', 'mesin', 'atm', 'nya', 'dan', 'untuk', 'yang', 'pelupa', 'recommended', 'banget', 'untuk', 'punya', 'aplikasi', 'ini', 'karena', 'pas', 'lagi', 'jalan', 'keluar', 'lupa', 'bawa', 'kartu', 'atm', 'kita', 'juga', 'bisa', 'ambil', 'uang', 'tunai', 'tanpa', 'kartu', 'terbaik', 'pokoknya']",<FreqDist with 45 samples and 54 outcomes>,"['membantu', 'penjual', 'online', 'order', 'barang', 'bayar', 'via', 'transfer', 'bank', 'mesin', 'atm', 'pelupa', 'recommended', 'banget', 'aplikasi', 'pas', 'jalan', 'lupa', 'bawa', 'kartu', 'atm', 'ambil', 'uang', 'tunai', 'kartu', 'terbaik', 'pokoknya']","['membantu', 'penjual', 'online', 'order', 'barang', 'bayar', 'via', 'transfer', 'bank', 'mesin', 'atm', 'pelupa', 'recommended', 'banget', 'aplikasi', 'pas', 'jalan', 'lupa', 'bawa', 'kartu', 'atm', 'ambil', 'uang', 'tunai', 'kartu', 'terbaik', 'pokoknya']","['bantu', 'jual', 'online', 'order', 'barang', 'bayar', 'via', 'transfer', 'bank', 'mesin', 'atm', 'lupa', 'recommended', 'banget', 'aplikasi', 'pas', 'jalan', 'lupa', 'bawa', 'kartu', 'atm', 'ambil', 'uang', 'tunai', 'kartu', 'baik', 'pokok']",-9,negative
Eva Juwitasari,5,2022-09-05 11:32:59,brimo sangat membantu saya dlm bertransaksi,"['brimo', 'sangat', 'membantu', 'saya', 'dlm', 'bertransaksi']",<FreqDist with 6 samples and 6 outcomes>,"['brimo', 'membantu', 'bertransaksi']","['brimo', 'membantu', 'bertransaksi']","['brimo', 'bantu', 'transaksi']",3,positive
Eko Hartono,5,2022-08-15 11:33:36,bagus lebih mudah dan simpel kalau bisa ditambahkan untuk pembayaran lainnya seperti kredit motor dan rumah,"['bagus', 'lebih', 'mudah', 'dan', 'simpel', 'kalau', 'bisa', 'ditambahkan', 'untuk', 'pembayaran', 'lainnya', 'seperti', 'kredit', 'motor', 'dan', 'rumah']",<FreqDist with 15 samples and 16 outcomes>,"['bagus', 'mudah', 'simpel', 'pembayaran', 'kredit', 'motor', 'rumah']","['bagus', 'mudah', 'simpel', 'pembayaran', 'kredit', 'motor', 'rumah']","['bagus', 'mudah', 'simpel', 'bayar', 'kredit', 'motor', 'rumah']",2,positive
lega lego,5,2022-09-05 13:53:04,mudah dan simple pake brimo,"['mudah', 'dan', 'simple', 'pake', 'brimo']",<FreqDist with 5 samples and 5 outcomes>,"['mudah', 'simple', 'pake', 'brimo']","['mudah', 'simple', 'pakai', 'brimo']","['mudah', 'simple', 'pakai', 'brimo']",6,positive
Aldi Aditya,5,2022-08-15 10:25:12,mantap aplikasi brimo semoga semakin berkembang kedepannya sehingga lebih memudahkan bertransaksi dan lebih safety keamanan nya,"['mantap', 'aplikasi', 'brimo', 'semoga', 'semakin', 'berkembang', 'kedepannya', 'sehingga', 'lebih', 'memudahkan', 'bertransaksi', 'dan', 'lebih', 'safety', 'keamanan', 'nya']",<FreqDist with 15 samples and 16 outcomes>,"['mantap', 'aplikasi', 'brimo', 'semoga', 'berkembang', 'kedepannya', 'memudahkan', 'bertransaksi', 'safety', 'keamanan']","['mantap', 'aplikasi', 'brimo', 'semoga', 'berkembang', 'kedepannya', 'memudahkan', 'bertransaksi', 'safety', 'keamanan']","['mantap', 'aplikasi', 'brimo', 'moga', 'kembang', 'depan', 'mudah', 'transaksi', 'safety', 'aman']",12,positive
teguh riyadi,5,2022-08-15 10:12:05,fitur lengkap dan lumayan mudah menggunakannya tdk menyulitkan user baru,"['fitur', 'lengkap', 'dan', 'lumayan', 'mudah', 'menggunakannya', 'tdk', 'menyulitkan', 'user', 'baru']",<FreqDist with 10 samples and 10 outcomes>,"['fitur', 'lengkap', 'lumayan', 'mudah', 'menggunakannya', 'menyulitkan', 'user']","['fitur', 'lengkap', 'lumayan', 'mudah', 'menggunakannya', 'menyulitkan', 'user']","['fitur', 'lengkap', 'lumayan', 'mudah', 'guna', 'sulit', 'user']",2,positive
Susanto Susanto,5,2022-09-05 13:51:16,sangat mudah dan membantuterimakasih brimo,"['sangat', 'mudah', 'dan', 'membantuterimakasih', 'brimo']",<FreqDist with 5 samples and 5 outcomes>,"['mudah', 'membantuterimakasih', 'brimo']","['mudah', 'membantuterimakasih', 'brimo']","['mudah', 'membantuterimakasih', 'brimo']",3,positive
Satria Drajat,5,2022-08-15 9:37:49,alhamdulilah semakin mudah bertransaksi terima kasih brimo sukses selalu dan tingkatkan keamanan nasabah,"['alhamdulilah', 'semakin', 'mudah', 'bertransaksi', 'terima', 'kasih', 'brimo', 'sukses', 'selalu', 'dan', 'tingkatkan', 'keamanan', 'nasabah']",<FreqDist with 13 samples and 13 outcomes>,"['alhamdulilah', 'mudah', 'bertransaksi', 'terima', 'kasih', 'brimo', 'sukses', 'tingkatkan', 'keamanan', 'nasabah']","['alhamdulilah', 'mudah', 'bertransaksi', 'terima', 'kasih', 'brimo', 'sukses', 'tingkatkan', 'keamanan', 'nasabah']","['alhamdulilah', 'mudah', 'transaksi', 'terima', 'kasih', 'brimo', 'sukses', 'tingkat', 'aman', 'nasabah']",21,positive
Tri Advangers,4,2022-09-05 13:43:06,mempermudah aktifitas dan pembayaran apa puntrimakasih brimosemoga aplikasi ini menjadi alat transfer favorit no,"['mempermudah', 'aktifitas', 'dan', 'pembayaran', 'apa', 'puntrimakasih', 'brimosemoga', 'aplikasi', 'ini', 'menjadi', 'alat', 'transfer', 'favorit', 'no']",<FreqDist with 14 samples and 14 outcomes>,"['mempermudah', 'aktifitas', 'pembayaran', 'puntrimakasih', 'brimosemoga', 'aplikasi', 'alat', 'transfer', 'favorit']","['mempermudah', 'aktifitas', 'pembayaran', 'puntrimakasih', 'brimosemoga', 'aplikasi', 'alat', 'transfer', 'favorit']","['mudah', 'aktifitas', 'bayar', 'puntrimakasih', 'brimosemoga', 'aplikasi', 'alat', 'transfer', 'favorit']",-3,negative
annisa widiasafitri,4,2022-08-15 8:37:04,mempermudah banget buat melakukan transaksi tapi daftar nya aga susah yah udah beberapa kali coba ga bisa di coba terus akhirnya bisa,"['mempermudah', 'banget', 'buat', 'melakukan', 'transaksi', 'tapi', 'daftar', 'nya', 'aga', 'susah', 'yah', 'udah', 'beberapa', 'kali', 'coba', 'ga', 'bisa', 'di', 'coba', 'terus', 'akhirnya', 'bisa']",<FreqDist with 20 samples and 22 outcomes>,"['mempermudah', 'banget', 'transaksi', 'daftar', 'susah', 'coba', 'coba']","['mempermudah', 'banget', 'transaksi', 'daftar', 'susah', 'coba', 'coba']","['mudah', 'banget', 'transaksi', 'daftar', 'susah', 'coba', 'coba']",4,positive
